Order ID,Order Date,Region,Category,Sales,Profit,Quantity
CA-2024-100001,2024-01-15,South,Furniture,261.96,41.91,2
CA-2024-100002,2024-01-22,South,Furniture,731.94,219.58,3
CA-2024-100003,2024-02-05,West,Office Supplies,14.62,6.87,2
US-2024-100004,2024-02-14,South,Furniture,957.58,-383.03,5
US-2024-100005,2024-02-20,South,Office Supplies,22.37,2.52,2
CA-2024-100006,2024-03-03,West,Furniture,48.86,14.17,7
CA-2024-100007,2024-03-12,West,Office Supplies,7.28,1.97,4
CA-2024-100008,2024-03-25,West,Technology,907.15,90.72,6
CA-2024-100009,2024-04-04,Central,Office Supplies,15.55,5.44,3
CA-2024-100010,2024-04-15,Central,Office Supplies,407.98,132.59,3
CA-2024-100011,2024-04-22,East,Technology,1200.00,420.00,4
CA-2024-100012,2024-05-02,East,Technology,3200.00,890.00,2
CA-2024-100013,2024-05-18,South,Furniture,189.99,28.00,1
CA-2024-100014,2024-06-01,West,Technology,22638.00,4500.00,1
CA-2024-100015,2024-06-15,Central,Office Supplies,55.34,8.30,5
CA-2024-100016,2024-07-04,East,Furniture,890.00,220.00,3
CA-2024-100017,2024-07-22,South,Technology,1450.00,380.00,2
CA-2024-100018,2024-08-10,West,Technology,2800.00,720.00,1
CA-2024-100019,2024-08-25,Central,Furniture,540.00,90.00,4
CA-2024-100020,2024-09-08,East,Office Supplies,75.50,18.50,6
CA-2024-100021,2024-09-19,South,Technology,1900.00,520.00,2
CA-2024-100022,2024-10-02,West,Furniture,320.00,45.00,3
CA-2024-100023,2024-10-14,Central,Technology,2150.00,610.00,1
CA-2024-100024,2024-10-28,East,Office Supplies,42.30,9.80,8
CA-2024-100025,2024-11-05,South,Technology,4500.00,1200.00,2
CA-2024-100026,2024-11-15,West,Furniture,1100.00,240.00,4
CA-2024-100027,2024-11-28,East,Technology,5800.00,1450.00,1
CA-2024-100028,2024-12-08,South,Furniture,720.00,150.00,3
CA-2024-100029,2024-12-18,Central,Technology,3400.00,890.00,2
CA-2024-100030,2024-12-30,East,Office Supplies,28.99,6.50,5
